val_ids,dumbpredwtags
RIGA/DS/Unlabeled/drishtiGS_002.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_004.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_008.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_010.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_012.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_015.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_016.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_017.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_018.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_022.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_024.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_026.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_031.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_032.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_033.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_035.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_036.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_037.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_038.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_040.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_041.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_042.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_044.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_045.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_046.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_047.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_049.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_051.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_057.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_058.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_060.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_061.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_062.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_063.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_064.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_066.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_068.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_069.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_075.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_076.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_080.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_081.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_084.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_088.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_089.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_090.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_092.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_094.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_098.tif,"[67801, 44365]"
RIGA/DS/Unlabeled/drishtiGS_101.tif,"[67801, 44365]"
