val_ids,dumbpredwtags
RIGA/MESSIDOR_Base3/Unlabeled/20051109_57451_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051109_59582_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051109_59751_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051109_59864_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051109_59969_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051109_60031_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051109_60136_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051110_34013_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051110_34071_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051110_34493_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051110_35239_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051110_35279_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051110_35332_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051110_35926_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051110_37992_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051110_38111_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051110_38156_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051110_38194_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051110_38372_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051110_38411_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051110_38472_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051110_38507_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051110_38702_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051116_43388_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051116_43585_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051116_43710_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051116_43721_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051116_43785_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051116_43801_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051116_44126_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051116_44482_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051116_44718_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051116_44816_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051116_54454_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051116_54587_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051116_54642_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051116_54663_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051116_54832_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051116_54865_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051116_55593_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051116_55643_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051116_55649_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051116_55656_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051116_58816_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051116_58835_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051116_58850_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051116_58864_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051116_58872_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051116_59150_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051116_59193_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051117_37042_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051117_37051_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051117_37130_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051117_37155_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051117_37321_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051130_53586_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051130_53623_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051130_53663_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051130_53991_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051130_54077_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051130_54121_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051130_54257_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051130_54301_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051130_54333_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051130_54364_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051130_54476_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051130_54595_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051130_54616_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051130_54802_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051130_54846_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051130_55004_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051130_55012_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051130_55037_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051130_55048_0400_PP.tif,"[15786, 3394]"
RIGA/MESSIDOR_Base3/Unlabeled/20051130_55074_0400_PP.tif,"[15786, 3394]"
