val_ids,dumbpredwtags
RIGA/REFUGE_1/Unlabeled/g0011.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/g0012.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/g0013.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/g0014.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/g0015.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/g0016.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/g0017.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/g0018.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/g0019.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/g0020.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/g0021.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/g0022.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/g0023.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/g0024.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/g0025.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/g0026.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/g0027.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/g0028.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/g0029.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/g0030.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/g0031.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/g0032.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/g0033.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/g0034.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/g0035.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/g0036.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/g0037.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/g0038.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/g0039.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/g0040.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/n0091.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/n0092.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/n0093.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/n0094.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/n0095.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/n0096.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/n0097.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/n0098.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/n0099.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/n0100.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/n0101.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/n0102.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/n0103.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/n0104.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/n0105.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/n0106.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/n0107.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/n0108.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/n0109.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/n0110.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/n0111.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/n0112.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/n0113.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/n0114.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/n0115.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/n0116.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/n0117.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/n0118.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/n0119.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/n0120.tif,"[36331, 15125]"
RIGA/REFUGE_1/Unlabeled/n0121.tif,"[36331, 15125]"
